Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;T.V.A_%;Formalites;Total_%
510539;HS6;Autres;Hair;;;;;
5105391000;HS10;Autres - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5105392000;HS10;Autres - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5105399000;HS10;Autres - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
510540;HS6;Poils grossiers;Hair;;;;;
5105401000;HS10;Poils grossiers - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5105402000;HS10;Poils grossiers - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5105409000;HS10;Poils grossiers - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
5106;RANGEE 06;Yarn of carded wool, not put up for retail sale;;;;;;
510610;HS6;Contenant au moins 85% en poids de laine;Yarn;;;;;
5106101000;HS10;Contenant au moins 85% en poids de laine - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5106102000;HS10;Contenant au moins 85% en poids de laine - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5106109000;HS10;Contenant au moins 85% en poids de laine - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
510620;HS6;Contenant moins de 85% en poids de laine;Yarn;;;;;
5106201000;HS10;Contenant moins de 85% en poids de laine - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5106202000;HS10;Contenant moins de 85% en poids de laine - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5106209000;HS10;Contenant moins de 85% en poids de laine - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
5107;RANGEE 07;Yarn of combed wool, not put up for retail sale;;;;;;
510710;HS6;Contenant au moins 85% en poids de laine;Yarn;;;;;
5107101000;HS10;Contenant au moins 85% en poids de laine - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5107102000;HS10;Contenant au moins 85% en poids de laine - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5107109000;HS10;Contenant au moins 85% en poids de laine - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
510720;HS6;Contenant moins de 85% en poids de laine;Yarn;;;;;
5107201000;HS10;Contenant moins de 85% en poids de laine - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5107202000;HS10;Contenant moins de 85% en poids de laine - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5107209000;HS10;Contenant moins de 85% en poids de laine - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
5108;RANGEE 08;Yarn of fine animal hair (carded or combed), not put up for retail sale;;;;;;
510810;HS6;Cardés;Yarn;;;;;
5108101000;HS10;Cardés - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5108102000;HS10;Cardés - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5108109000;HS10;Cardés - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
510820;HS6;Peignés;Yarn;;;;;
5108201000;HS10;Peignés - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5108202000;HS10;Peignés - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5108209000;HS10;Peignés - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
5109;RANGEE 09;Yarn of wool or of fine animal hair, put up for retail sale;;;;;;
510910;HS6;Contenant au moins 85% en poids de laine ou de poils fins;Yarn;;;;;
5109101000;HS10;Contenant au moins 85% en poids de laine ou de poils fins - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5109102000;HS10;Contenant au moins 85% en poids de laine ou de poils fins - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5109109000;HS10;Contenant au moins 85% en poids de laine ou de poils fins - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
510990;HS6;Autres;Yarn;;;;;
5109901000;HS10;Autres - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5109902000;HS10;Autres - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5109909000;HS10;Autres - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
5110;RANGEE 10;Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale;;;;;;
511000;HS6;Fils de poils grossiers ou de crins (y compris les fils de crin guipés);Yarn;;;;;
5110001000;HS10;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Type 1;Yarn - Type 1;Textile;7.5;17.0;=;24.5
5110002000;HS10;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Type 2;Yarn - Type 2;Textile;7.5;17.0;=;24.5
5110009000;HS10;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Autre;Yarn - Other;Textile;7.5;17.0;=;24.5
5111;RANGEE 11;Woven fabrics of carded wool or of carded fine animal hair;;;;;;
511111;HS6;D'un poids n'excédant pas 300 g/m²;Fabrics;;;;;
5111111000;HS10;D'un poids n'excédant pas 300 g/m² - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5111112000;HS10;D'un poids n'excédant pas 300 g/m² - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5111119000;HS10;D'un poids n'excédant pas 300 g/m² - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511119;HS6;Autres;Fabrics;;;;;
5111191000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5111192000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5111199000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511120;HS6;Autres;Fabrics;;;;;
5111201000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5111202000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5111209000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511130;HS6;Autres;Fabrics;;;;;
5111301000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5111302000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5111309000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511190;HS6;Autres;Fabrics;;;;;
5111901000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5111902000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5111909000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
5112;RANGEE 12;Woven fabrics of combed wool or of combed fine animal hair;;;;;;
511211;HS6;D'un poids n'excédant pas 200g/m²;Fabrics;;;;;
5112111000;HS10;D'un poids n'excédant pas 200g/m² - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5112112000;HS10;D'un poids n'excédant pas 200g/m² - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5112119000;HS10;D'un poids n'excédant pas 200g/m² - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511219;HS6;Autres;Fabrics;;;;;
5112191000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5112192000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5112199000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511220;HS6;Autres;Fabrics;;;;;
5112201000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5112202000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5112209000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511230;HS6;Autres;Fabrics;;;;;
5112301000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5112302000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5112309000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
511290;HS6;Autres;Fabrics;;;;;
5112901000;HS10;Autres - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5112902000;HS10;Autres - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5112909000;HS10;Autres - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
5113;RANGEE 13;Woven fabrics of coarse animal hair or of horsehair;;;;;;
511300;HS6;Tissus de poils grossiers ou de crin;Fabrics;;;;;
5113001000;HS10;Tissus de poils grossiers ou de crin - Type 1;Fabrics - Type 1;Textile;7.5;17.0;=;24.5
5113002000;HS10;Tissus de poils grossiers ou de crin - Type 2;Fabrics - Type 2;Textile;7.5;17.0;=;24.5
5113009000;HS10;Tissus de poils grossiers ou de crin - Autre;Fabrics - Other;Textile;7.5;17.0;=;24.5
CHAPITRE 52;CHAPITRE;Coton;;;;;;
5201;RANGEE 01;"Cotton; not carded or combed";;;;;;
520100;HS6;Coton non cardé ni peigné;Cotton, not carded or combed;;;;;
5201001000;HS10;Coton non cardé ni peigné - Grade 1 / Premium;Cotton, not carded or combed - Grade 1 / Premium;Textile;7.5;17.0;910 Déclaration d'Importation du Produit;24.5
5201002000;HS10;Coton non cardé ni peigné - Grade 2 / Standard;Cotton, not carded or combed - Grade 2 / Standard;Textile;7.5;17.0;=;24.5
5201009000;HS10;Coton non cardé ni peigné - Autre;Cotton, not carded or combed - Other;Textile;7.5;17.0;=;24.5
5202;RANGEE 02;Cotton waste (including yarn waste and garnetted stock);;;;;;
520210;HS6;Déchets de coton non effilochés;Cotton waste not garnetted;;;;;
5202101000;HS10;Déchets de coton non effilochés - Type 1;Cotton waste not garnetted - Type 1;Textile;7.5;17.0;=;24.5
5202102000;HS10;Déchets de coton non effilochés - Type 2;Cotton waste not garnetted - Type 2;Textile;7.5;17.0;=;24.5
5202109000;HS10;Déchets de coton non effilochés - Autre;Cotton waste not garnetted - Other;Textile;7.5;17.0;=;24.5
520291;HS6;Déchets de coton effilochés;Garnetted cotton waste;;;;;
5202911000;HS10;Déchets de coton effilochés - Type 1;Garnetted cotton waste - Type 1;Textile;7.5;17.0;=;24.5
5202912000;HS10;Déchets de coton effilochés - Type 2;Garnetted cotton waste - Type 2;Textile;7.5;17.0;=;24.5
5202919000;HS10;Déchets de coton effilochés - Autre;Garnetted cotton waste - Other;Textile;7.5;17.0;=;24.5
520299;HS6;Autres;Cotton;;;;;
5202991000;HS10;Autres - Type 1;Cotton - Type 1;Textile;7.5;17.0;=;24.5
5202992000;HS10;Autres - Type 2;Cotton - Type 2;Textile;7.5;17.0;=;24.5
5202999000;HS10;Autres - Autre;Cotton - Other;Textile;7.5;17.0;=;24.5
5203;RANGEE 03;Cotton, carded or combed;;;;;;
520300;HS6;Coton cardé ou peigné;Cotton carded or combed;;;;;
5203001000;HS10;Coton cardé ou peigné - Type 1;Cotton carded or combed - Type 1;Textile;7.5;17.0;=;24.5
5203002000;HS10;Coton cardé ou peigné - Type 2;Cotton carded or combed - Type 2;Textile;7.5;17.0;=;24.5
5203009000;HS10;Coton cardé ou peigné - Autre;Cotton carded or combed - Other;Textile;7.5;17.0;=;24.5
5204;RANGEE 04;Cotton sewing thread, whether or not put up for retail sale;;;;;;
520411;HS6;Fil de coton ≥85% coton, simple, non conditionné;Cotton sewing thread ≥85% cotton, single, not retail;;;;;
5204111000;HS10;Fil de coton ≥85% coton, simple, non conditionné - Type 1;Cotton sewing thread ≥85% cotton, single, not retail - Type 1;Textile;7.5;17.0;=;24.5
5204112000;HS10;Fil de coton ≥85% coton, simple, non conditionné - Type 2;Cotton sewing thread ≥85% cotton, single, not retail - Type 2;Textile;7.5;17.0;=;24.5
5204119000;HS10;Fil de coton ≥85% coton, simple, non conditionné - Autre;Cotton sewing thread ≥85% cotton, single, not retail - Other;Textile;7.5;17.0;=;24.5
520419;HS6;Autres;Cotton;;;;;
5204191000;HS10;Autres - Type 1;Cotton - Type 1;Textile;7.5;17.0;=;24.5
5204192000;HS10;Autres - Type 2;Cotton - Type 2;Textile;7.5;17.0;=;24.5
5204199000;HS10;Autres - Autre;Cotton - Other;Textile;7.5;17.0;=;24.5
520420;HS6;Conditionnés pour la vente au détail;Cotton;;;;;
5204201000;HS10;Conditionnés pour la vente au détail - Type 1;Cotton - Type 1;Textile;7.5;17.0;=;24.5
5204202000;HS10;Conditionnés pour la vente au détail - Type 2;Cotton - Type 2;Textile;7.5;17.0;=;24.5
5204209000;HS10;Conditionnés pour la vente au détail - Autre;Cotton - Other;Textile;7.5;17.0;=;24.5
5205;RANGEE 05;Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton, not put up for retail sale;;;;;;
520511;HS6;Titrant 714;Cotton yarn;;;;;
5205111000;HS10;Titrant 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205112000;HS10;Titrant 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205119000;HS10;Titrant 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520512;HS6;Fils de coton simples peignés ≥14000 decitex;Single combed cotton yarn ≥14000 decitex;;;;;
5205121000;HS10;Fils de coton simples peignés ≥14000 decitex - Type 1;Single combed cotton yarn ≥14000 decitex - Type 1;Textile;7.5;17.0;=;24.5
5205122000;HS10;Fils de coton simples peignés ≥14000 decitex - Type 2;Single combed cotton yarn ≥14000 decitex - Type 2;Textile;7.5;17.0;=;24.5
5205129000;HS10;Fils de coton simples peignés ≥14000 decitex - Autre;Single combed cotton yarn ≥14000 decitex - Other;Textile;7.5;17.0;=;24.5
520513;HS6;titrant moins de 232;Cotton yarn;;;;;
5205131000;HS10;titrant moins de 232 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205132000;HS10;titrant moins de 232 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205139000;HS10;titrant moins de 232 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520514;HS6;Titrant moins de 192;Cotton yarn;;;;;
5205141000;HS10;Titrant moins de 192 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205142000;HS10;Titrant moins de 192 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205149000;HS10;Titrant moins de 192 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520515;HS6;Titrant moins de 125 décitex (excédant 80 numéros métriques);Cotton yarn;;;;;
5205151000;HS10;Titrant moins de 125 décitex (excédant 80 numéros métriques) - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205152000;HS10;Titrant moins de 125 décitex (excédant 80 numéros métriques) - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205159000;HS10;Titrant moins de 125 décitex (excédant 80 numéros métriques) - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520521;HS6;Titrant 714;Cotton yarn;;;;;
5205211000;HS10;Titrant 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205212000;HS10;Titrant 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205219000;HS10;Titrant 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520522;HS6;titrant moins de 714;Cotton yarn;;;;;
5205221000;HS10;titrant moins de 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205222000;HS10;titrant moins de 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205229000;HS10;titrant moins de 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520523;HS6;Titrant moins de 232;Cotton yarn;;;;;
5205231000;HS10;Titrant moins de 232 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205232000;HS10;Titrant moins de 232 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205239000;HS10;Titrant moins de 232 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520524;HS6;Titrant moins de 192;Cotton yarn;;;;;
5205241000;HS10;Titrant moins de 192 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205242000;HS10;Titrant moins de 192 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205249000;HS10;Titrant moins de 192 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520526;HS6;Titrant moins de 125 décitex mais pas moins de 106;Cotton yarn;;;;;
5205261000;HS10;Titrant moins de 125 décitex mais pas moins de 106 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205262000;HS10;Titrant moins de 125 décitex mais pas moins de 106 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205269000;HS10;Titrant moins de 125 décitex mais pas moins de 106 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520527;HS6;Titrant moins de 106;Cotton yarn;;;;;
5205271000;HS10;Titrant moins de 106 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205272000;HS10;Titrant moins de 106 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205279000;HS10;Titrant moins de 106 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520528;HS6;Titrant moins de 83;Cotton yarn;;;;;
5205281000;HS10;Titrant moins de 83 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205282000;HS10;Titrant moins de 83 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205289000;HS10;Titrant moins de 83 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520531;HS6;Titrant en fils simples 714;Cotton yarn;;;;;
5205311000;HS10;Titrant en fils simples 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205312000;HS10;Titrant en fils simples 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205319000;HS10;Titrant en fils simples 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520532;HS6;titrant en fils simples moins de 714;Cotton yarn;;;;;
5205321000;HS10;titrant en fils simples moins de 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205322000;HS10;titrant en fils simples moins de 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205329000;HS10;titrant en fils simples moins de 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520533;HS6;Titrant en fils simples moins de 232;Cotton yarn;;;;;
5205331000;HS10;Titrant en fils simples moins de 232 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205332000;HS10;Titrant en fils simples moins de 232 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205339000;HS10;Titrant en fils simples moins de 232 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520534;HS6;Titrant en fils simples moins de 192;Cotton yarn;;;;;
5205341000;HS10;Titrant en fils simples moins de 192 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205342000;HS10;Titrant en fils simples moins de 192 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205349000;HS10;Titrant en fils simples moins de 192 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520535;HS6;Titrant en fils simples moins de 125 décitex (excédant 80 numéros metriques en fils simples);Cotton yarn;;;;;
5205351000;HS10;Titrant en fils simples moins de 125 décitex (excédant 80 numéros metriques en fils simples) - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205352000;HS10;Titrant en fils simples moins de 125 décitex (excédant 80 numéros metriques en fils simples) - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205359000;HS10;Titrant en fils simples moins de 125 décitex (excédant 80 numéros metriques en fils simples) - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520541;HS6;Titrant en fils simples 714;Cotton yarn;;;;;
5205411000;HS10;Titrant en fils simples 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205412000;HS10;Titrant en fils simples 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
5205419000;HS10;Titrant en fils simples 714 - Autre;Cotton yarn - Other;Textile;7.5;17.0;=;24.5
520542;HS6;Titrant en fils simples moins de 714;Cotton yarn;;;;;
5205421000;HS10;Titrant en fils simples moins de 714 - Type 1;Cotton yarn - Type 1;Textile;7.5;17.0;=;24.5
5205422000;HS10;Titrant en fils simples moins de 714 - Type 2;Cotton yarn - Type 2;Textile;7.5;17.0;=;24.5
