Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;TCI_%;CAC_%;T.V.A_%;Formalites;Total_%
0105141000;HS10;Oies - Type 1;Poultry - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105142000;HS10;Oies - Type 2;Poultry - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105149000;HS10;Oies - Autre;Poultry - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010515;HS6;Pintades;Poultry;;;;;;;
0105151000;HS10;Pintades - Type 1;Poultry - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105152000;HS10;Pintades - Type 2;Poultry - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105159000;HS10;Pintades - Autre;Poultry - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010594;HS6;Volailles vivantes autres (poulets >185g);Other live poultry (fowls >185g);;;;;;;
0105940010;HS10;Volailles vivantes autres (poulets >185g) - Usage spécifique;Other live poultry (fowls >185g) - Specific use;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105940090;HS10;Volailles vivantes autres (poulets >185g) - Autre usage;Other live poultry (fowls >185g) - Other use;Élevage;20.0;1.0;10.0;19.25;=;50.25
010599;HS6;autres;Poultry;;;;;;;
0105991000;HS10;autres - Type 1;Poultry - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105992000;HS10;autres - Type 2;Poultry - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105999000;HS10;autres - Autre;Poultry - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106;RANGEE 06;"Animals; live, n.e.c. in chapter 01";;;;;;;;
010600;HS6;Autres animaux vivants;Autres animaux vivants;;;;;;;
0106001000;HS10;Autres animaux vivants - Type 1;Autres animaux vivants - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106002000;HS10;Autres animaux vivants - Type 2;Autres animaux vivants - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106009000;HS10;Autres animaux vivants - Autre;Autres animaux vivants - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010611;HS6;Primates vivants;Live primates;;;;;;;
010611;HS6-DIRECT;Primates vivants;Live primates;Élevage;20.0;1.0;10.0;19.25;=;50.25
010612;HS6;Baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);;;;;;;
0106121000;HS10;Baleines - Type 1;de lamantins et dugongs (mammifères de l'ordre Sirenia) - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106122000;HS10;Baleines - Type 2;de lamantins et dugongs (mammifères de l'ordre Sirenia) - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106129000;HS10;Baleines - Autre;de lamantins et dugongs (mammifères de l'ordre Sirenia) - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010613;HS6;Chameaux et autres camélidés (Camelidae);Mammals;;;;;;;
0106131000;HS10;Chameaux et autres camélidés (Camelidae) - Type 1;Mammals - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106132000;HS10;Chameaux et autres camélidés (Camelidae) - Type 2;Mammals - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106139000;HS10;Chameaux et autres camélidés (Camelidae) - Autre;Mammals - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010614;HS6;Lapins et lièvres;Mammals;;;;;;;
0106141000;HS10;Lapins et lièvres - Type 1;Mammals - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106142000;HS10;Lapins et lièvres - Type 2;Mammals - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106149000;HS10;Lapins et lièvres - Autre;Mammals - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010619;HS6;Autres;Mammals;;;;;;;
0106191000;HS10;Autres - Type 1;Mammals - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106192000;HS10;Autres - Type 2;Mammals - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106199000;HS10;Autres - Autre;Mammals - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010620;HS6;Reptiles (y compris les serpents et tortues de mer);Reptiles;;;;;;;
0106201000;HS10;Reptiles (y compris les serpents et tortues de mer) - Type 1;Reptiles - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106202000;HS10;Reptiles (y compris les serpents et tortues de mer) - Type 2;Reptiles - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106209000;HS10;Reptiles (y compris les serpents et tortues de mer) - Autre;Reptiles - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010631;HS6;Oiseaux de proie;Birds;;;;;;;
0106311000;HS10;Oiseaux de proie - Type 1;Birds - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106312000;HS10;Oiseaux de proie - Type 2;Birds - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106319000;HS10;Oiseaux de proie - Autre;Birds - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010632;HS6;Psittaciformes (y compris les perroquets;Birds;;;;;;;
0106321000;HS10;Psittaciformes (y compris les perroquets - Type 1;Birds - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106322000;HS10;Psittaciformes (y compris les perroquets - Type 2;Birds - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106329000;HS10;Psittaciformes (y compris les perroquets - Autre;Birds - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010633;HS6;Autruches;emeus (Dromaius novahollandiae);;;;;;;
0106331000;HS10;Autruches - Type 1;emeus (Dromaius novahollandiae) - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106332000;HS10;Autruches - Type 2;emeus (Dromaius novahollandiae) - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106339000;HS10;Autruches - Autre;emeus (Dromaius novahollandiae) - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010639;HS6;Autres :;Birds;;;;;;;
0106391000;HS10;Autres : - Type 1;Birds - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106392000;HS10;Autres : - Type 2;Birds - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106399000;HS10;Autres : - Autre;Birds - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010641;HS6;Abeilles;Insects;;;;;;;
0106411000;HS10;Abeilles - Type 1;Insects - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106412000;HS10;Abeilles - Type 2;Insects - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106419000;HS10;Abeilles - Autre;Insects - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010649;HS6;Autres;Insects;;;;;;;
0106491000;HS10;Autres - Type 1;Insects - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106492000;HS10;Autres - Type 2;Insects - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106499000;HS10;Autres - Autre;Insects - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010690;HS6;Autres;Animals;;;;;;;
0106901000;HS10;Autres - Type 1;Animals - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106902000;HS10;Autres - Type 2;Animals - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0106909000;HS10;Autres - Autre;Animals - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
CHAPITRE 02;CHAPITRE;Viandes et abats comestibles;;;;;;;;
0201;RANGEE 01;"Meat of bovine animals; fresh or chilled";;;;;;;;
020110;HS6;Carcasses ou demi-carcasses de bovins, fraîches;Bovine carcasses or half-carcasses, fresh;;;;;;;
0201101000;HS10;Carcasses ou demi-carcasses de bovins, fraîches - Grade 1 / Premium;Bovine carcasses or half-carcasses, fresh - Grade 1 / Premium;Alimentation;20.0;1.0;10.0;19.25;910 Déclaration d'Importation du Produit;50.25
0201102000;HS10;Carcasses ou demi-carcasses de bovins, fraîches - Grade 2 / Standard;Bovine carcasses or half-carcasses, fresh - Grade 2 / Standard;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0201109000;HS10;Carcasses ou demi-carcasses de bovins, fraîches - Autre;Bovine carcasses or half-carcasses, fresh - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020120;HS6;Morceaux de bovins non désossés, frais;Bovine cuts, bone-in, fresh;;;;;;;
0201201000;HS10;Morceaux de bovins non désossés, frais - Grade 1 / Premium;Bovine cuts, bone-in, fresh - Grade 1 / Premium;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0201202000;HS10;Morceaux de bovins non désossés, frais - Grade 2 / Standard;Bovine cuts, bone-in, fresh - Grade 2 / Standard;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0201209000;HS10;Morceaux de bovins non désossés, frais - Autre;Bovine cuts, bone-in, fresh - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020130;HS6;Viande de bovins désossée;Bovine meat;;;;;;;
0201301000;HS10;Viande de bovins désossée - Type 1;Bovine meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0201302000;HS10;Viande de bovins désossée - Type 2;Bovine meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0201309000;HS10;Viande de bovins désossée - Autre;Bovine meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0202;RANGEE 02;"Meat of bovine animals; frozen";;;;;;;;
020210;HS6;Carcasses de bovins, congelées;Bovine carcasses, frozen;;;;;;;
0202101000;HS10;Carcasses de bovins, congelées - Grade 1 / Premium;Bovine carcasses, frozen - Grade 1 / Premium;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0202102000;HS10;Carcasses de bovins, congelées - Grade 2 / Standard;Bovine carcasses, frozen - Grade 2 / Standard;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0202109000;HS10;Carcasses de bovins, congelées - Autre;Bovine carcasses, frozen - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020220;HS6;Morceaux de bovins non désossés, congelés;Bovine cuts, bone-in, frozen;;;;;;;
020220;HS6-DIRECT;Morceaux de bovins non désossés, congelés;Bovine cuts, bone-in, frozen;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020230;HS6;Viande de bovins désossée;Bovine meat;;;;;;;
0202301000;HS10;Viande de bovins désossée - Type 1;Bovine meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0202302000;HS10;Viande de bovins désossée - Type 2;Bovine meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0202309000;HS10;Viande de bovins désossée - Autre;Bovine meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203;RANGEE 03;"Meat of swine; fresh, chilled or frozen";;;;;;;;
020311;HS6;Carcasses de porcins, fraîches;Swine carcasses, fresh;;;;;;;
020311;HS6-DIRECT;Carcasses de porcins, fraîches;Swine carcasses, fresh;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020312;HS6;Jambons et épaules de porcins;Hams and shoulders of swine;;;;;;;
0203121000;HS10;Jambons et épaules de porcins - Type 1;Hams and shoulders of swine - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203122000;HS10;Jambons et épaules de porcins - Type 2;Hams and shoulders of swine - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203129000;HS10;Jambons et épaules de porcins - Autre;Hams and shoulders of swine - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020319;HS6;Viande de porcins, fraîche autre;Other fresh swine meat;;;;;;;
020319;HS6-DIRECT;Viande de porcins, fraîche autre;Other fresh swine meat;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020321;HS6;En carcasses ou demi-carcasses;Meat;;;;;;;
0203211000;HS10;En carcasses ou demi-carcasses - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203212000;HS10;En carcasses ou demi-carcasses - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203219000;HS10;En carcasses ou demi-carcasses - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020322;HS6;Jambons;Meat;;;;;;;
0203221000;HS10;Jambons - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203222000;HS10;Jambons - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203229000;HS10;Jambons - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020329;HS6;Autres;Meat;;;;;;;
0203291000;HS10;Autres - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203292000;HS10;Autres - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0203299000;HS10;Autres - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204;RANGEE 04;"Meat of sheep or goats; fresh, chilled or frozen";;;;;;;;
020410;HS6;Carcasses d'agneau, fraîches;Lamb carcasses, fresh;;;;;;;
020410;HS6-DIRECT;Carcasses d'agneau, fraîches;Lamb carcasses, fresh;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020421;HS6;Carcasses d'ovins, fraîches;Sheep carcasses, fresh;;;;;;;
0204211000;HS10;Carcasses d'ovins, fraîches - Grade 1 / Premium;Sheep carcasses, fresh - Grade 1 / Premium;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204212000;HS10;Carcasses d'ovins, fraîches - Grade 2 / Standard;Sheep carcasses, fresh - Grade 2 / Standard;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204219000;HS10;Carcasses d'ovins, fraîches - Autre;Sheep carcasses, fresh - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020422;HS6;Morceaux d'ovins non désossés, frais;Sheep cuts, bone-in, fresh;;;;;;;
020422;HS6-DIRECT;Morceaux d'ovins non désossés, frais;Sheep cuts, bone-in, fresh;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020423;HS6;Morceaux d'ovins désossés, frais;Sheep cuts, boneless, fresh;;;;;;;
020423;HS6-DIRECT;Morceaux d'ovins désossés, frais;Sheep cuts, boneless, fresh;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020430;HS6;Carcasses de caprins;Goat carcasses;;;;;;;
0204301000;HS10;Carcasses de caprins - Type 1;Goat carcasses - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204302000;HS10;Carcasses de caprins - Type 2;Goat carcasses - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204309000;HS10;Carcasses de caprins - Autre;Goat carcasses - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020441;HS6;En carcasses ou demi-carcasses;Meat;;;;;;;
0204411000;HS10;En carcasses ou demi-carcasses - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204412000;HS10;En carcasses ou demi-carcasses - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204419000;HS10;En carcasses ou demi-carcasses - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020442;HS6;En autres morceaux non désossés;Meat;;;;;;;
0204421000;HS10;En autres morceaux non désossés - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204422000;HS10;En autres morceaux non désossés - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204429000;HS10;En autres morceaux non désossés - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020443;HS6;Désossées;Meat;;;;;;;
0204431000;HS10;Désossées - Type 1;Meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204432000;HS10;Désossées - Type 2;Meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0204439000;HS10;Désossées - Autre;Meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020450;HS6;Viande de chèvre;Goat meat;;;;;;;
020450;HS6-DIRECT;Viande de chèvre;Goat meat;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0205;RANGEE 05;"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen";;;;;;;;
020500;HS6;Viande d'équidés (cheval, âne);Meat of horses, asses, mules;;;;;;;
020500;HS6-DIRECT;Viande d'équidés (cheval, âne);Meat of horses, asses, mules;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206;RANGEE 06;"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen";;;;;;;;
020610;HS6;Abats de bovins, frais;Bovine offal, fresh;;;;;;;
0206101000;HS10;Abats de bovins, frais - Type 1;Bovine offal, fresh - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206102000;HS10;Abats de bovins, frais - Type 2;Bovine offal, fresh - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206109000;HS10;Abats de bovins, frais - Autre;Bovine offal, fresh - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020621;HS6;Langues de bovins congelées;Bovine tongues;;;;;;;
0206211000;HS10;Langues de bovins congelées - Type 1;Bovine tongues - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206212000;HS10;Langues de bovins congelées - Type 2;Bovine tongues - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206219000;HS10;Langues de bovins congelées - Autre;Bovine tongues - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020622;HS6;Foies;Offal;;;;;;;
0206221000;HS10;Foies - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206222000;HS10;Foies - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206229000;HS10;Foies - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020629;HS6;Autres;Offal;;;;;;;
0206291000;HS10;Autres - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206292000;HS10;Autres - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206299000;HS10;Autres - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020630;HS6;De l'espèce porcine;Offal;;;;;;;
0206301000;HS10;De l'espèce porcine - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206302000;HS10;De l'espèce porcine - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206309000;HS10;De l'espèce porcine - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020641;HS6;Foies;Offal;;;;;;;
0206411000;HS10;Foies - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206412000;HS10;Foies - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206419000;HS10;Foies - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020649;HS6;Autres;Offal;;;;;;;
0206491000;HS10;Autres - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206492000;HS10;Autres - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206499000;HS10;Autres - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020680;HS6;Autres;Offal;;;;;;;
0206801000;HS10;Autres - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206802000;HS10;Autres - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206809000;HS10;Autres - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
020690;HS6;Autres;Offal;;;;;;;
0206901000;HS10;Autres - Type 1;Offal - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206902000;HS10;Autres - Type 2;Offal - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0206909000;HS10;Autres - Autre;Offal - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
