Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;IDF_%;T.V.A_%;Formalites;Total_%
310260;HS6;Sels doubles et mélanges de nitrate de calcium et de nitrate d'ammonium;Fertilizers;;;;;;
3102601000;HS10;Sels doubles et mélanges de nitrate de calcium et de nitrate d'ammonium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102602000;HS10;Sels doubles et mélanges de nitrate de calcium et de nitrate d'ammonium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102609000;HS10;Sels doubles et mélanges de nitrate de calcium et de nitrate d'ammonium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310280;HS6;Mélanges d'urée et de nitrate d'ammonium en solutions aqueuses ou ammoniacales;Fertilizers;;;;;;
3102801000;HS10;Mélanges d'urée et de nitrate d'ammonium en solutions aqueuses ou ammoniacales - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102802000;HS10;Mélanges d'urée et de nitrate d'ammonium en solutions aqueuses ou ammoniacales - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102809000;HS10;Mélanges d'urée et de nitrate d'ammonium en solutions aqueuses ou ammoniacales - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310290;HS6;Autres;Fertilizers;;;;;;
3102901000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102902000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102909000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
3103;RANGEE 03;"Fertilizers; mineral or chemical, phosphatic";;;;;;;
310311;HS6;Contenant en poids 35 % ou plus de pentaoxyde de diphosphore (P2O5);Fertilizers;;;;;;
3103111000;HS10;Contenant en poids 35 % ou plus de pentaoxyde de diphosphore (P2O5) - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3103112000;HS10;Contenant en poids 35 % ou plus de pentaoxyde de diphosphore (P2O5) - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3103119000;HS10;Contenant en poids 35 % ou plus de pentaoxyde de diphosphore (P2O5) - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310319;HS6;Autres;Fertilizers;;;;;;
3103191000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3103192000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3103199000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310390;HS6;Autres;Fertilizers;;;;;;
3103901000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3103902000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3103909000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
3104;RANGEE 04;"Fertilizers; mineral or chemical, potassic";;;;;;;
310420;HS6;Chlorure de potassium;Fertilizers;;;;;;
3104201000;HS10;Chlorure de potassium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3104202000;HS10;Chlorure de potassium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3104209000;HS10;Chlorure de potassium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310430;HS6;Sulfate de potassium;Fertilizers;;;;;;
3104301000;HS10;Sulfate de potassium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3104302000;HS10;Sulfate de potassium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3104309000;HS10;Sulfate de potassium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310490;HS6;Autres;Fertilizers;;;;;;
3104901000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3104902000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3104909000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
3105;RANGEE 05;"Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg";;;;;;;
310510;HS6;Produits du présent Chapitre présentés soit en tablettes ou formes similaires;Fertilizers;;;;;;
3105101000;HS10;Produits du présent Chapitre présentés soit en tablettes ou formes similaires - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105102000;HS10;Produits du présent Chapitre présentés soit en tablettes ou formes similaires - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105109000;HS10;Produits du présent Chapitre présentés soit en tablettes ou formes similaires - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310520;HS6;Engrais minéraux ou chimiques contenant les trois éléments fertilisants : azote;Fertilizers;;;;;;
3105201000;HS10;Engrais minéraux ou chimiques contenant les trois éléments fertilisants : azote - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105202000;HS10;Engrais minéraux ou chimiques contenant les trois éléments fertilisants : azote - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105209000;HS10;Engrais minéraux ou chimiques contenant les trois éléments fertilisants : azote - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310530;HS6;Hydrogénoorthophosphate de diammonium (phosphate diammonique);Fertilizers;;;;;;
3105301000;HS10;Hydrogénoorthophosphate de diammonium (phosphate diammonique) - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105302000;HS10;Hydrogénoorthophosphate de diammonium (phosphate diammonique) - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105309000;HS10;Hydrogénoorthophosphate de diammonium (phosphate diammonique) - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310540;HS6;Dihydrogénoorthophosphate d'ammonium (phosphate monoammonique);Fertilizers;;;;;;
3105401000;HS10;Dihydrogénoorthophosphate d'ammonium (phosphate monoammonique) - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105402000;HS10;Dihydrogénoorthophosphate d'ammonium (phosphate monoammonique) - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105409000;HS10;Dihydrogénoorthophosphate d'ammonium (phosphate monoammonique) - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310551;HS6;Contenant des nitrates et des phosphates;Fertilizers;;;;;;
3105511000;HS10;Contenant des nitrates et des phosphates - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105512000;HS10;Contenant des nitrates et des phosphates - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105519000;HS10;Contenant des nitrates et des phosphates - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310559;HS6;Autres;Fertilizers;;;;;;
3105591000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105592000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105599000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310560;HS6;Engrais minéraux ou chimiques contenant les deux éléments fertilisants;phosphore et potassium;;;;;;
3105601000;HS10;Engrais minéraux ou chimiques contenant les deux éléments fertilisants - Type 1;phosphore et potassium - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105602000;HS10;Engrais minéraux ou chimiques contenant les deux éléments fertilisants - Type 2;phosphore et potassium - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105609000;HS10;Engrais minéraux ou chimiques contenant les deux éléments fertilisants - Autre;phosphore et potassium - Other;Agriculture;10.0;3.5;16.0;=;29.5
310590;HS6;Autres;Fertilizers;;;;;;
3105901000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3105902000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3105909000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
CHAPITRE 32;CHAPITRE;Extraits tannants, peintures;;;;;;;
3201;RANGEE 01;"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives";;;;;;;
320110;HS6;Extraits de quebracho;Quebracho extract;;;;;;
3201101000;HS10;Extraits de quebracho - Grade 1 / Premium;Quebracho extract - Grade 1 / Premium;Industrie chimique;10.0;3.5;16.0;910 Déclaration d'Importation du Produit;29.5
3201102000;HS10;Extraits de quebracho - Grade 2 / Standard;Quebracho extract - Grade 2 / Standard;Industrie chimique;10.0;3.5;16.0;=;29.5
3201109000;HS10;Extraits de quebracho - Autre;Quebracho extract - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
320120;HS6;Extraits de mimosa (wattle);Wattle extract;;;;;;
3201201000;HS10;Extraits de mimosa (wattle) - Grade 1 / Premium;Wattle extract - Grade 1 / Premium;Industrie chimique;10.0;3.5;16.0;=;29.5
3201202000;HS10;Extraits de mimosa (wattle) - Grade 2 / Standard;Wattle extract - Grade 2 / Standard;Industrie chimique;10.0;3.5;16.0;=;29.5
3201209000;HS10;Extraits de mimosa (wattle) - Autre;Wattle extract - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
320190;HS6;Autres extraits tannants végétaux;Other vegetable tanning extracts;;;;;;
3201901000;HS10;Autres extraits tannants végétaux - Type 1;Other vegetable tanning extracts - Type 1;Industrie chimique;10.0;3.5;16.0;=;29.5
3201902000;HS10;Autres extraits tannants végétaux - Type 2;Other vegetable tanning extracts - Type 2;Industrie chimique;10.0;3.5;16.0;=;29.5
3201909000;HS10;Autres extraits tannants végétaux - Autre;Other vegetable tanning extracts - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
3202;RANGEE 02;"Tanning substances; synthetic organic or inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances, enzymatic preparations for pre-tanning";;;;;;;
320210;HS6;Produits tannants organiques synthétiques;Synthetic organic tanning substances;;;;;;
320210;HS6-DIRECT;Produits tannants organiques synthétiques;Synthetic organic tanning substances;Industrie chimique;10.0;3.5;16.0;=;29.5
320290;HS6;Produits tannants inorganiques;Inorganic tanning substances;;;;;;
320290;HS6-DIRECT;Produits tannants inorganiques;Inorganic tanning substances;Industrie chimique;10.0;3.5;16.0;=;29.5
3203;RANGEE 03;"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin";;;;;;;
320300;HS6;Matières colorantes végétales ou animales;Colouring matter of vegetable or animal origin;;;;;;
3203001000;HS10;Matières colorantes végétales ou animales - Type 1;Colouring matter of vegetable or animal origin - Type 1;Industrie chimique;10.0;3.5;16.0;=;29.5
3203002000;HS10;Matières colorantes végétales ou animales - Type 2;Colouring matter of vegetable or animal origin - Type 2;Industrie chimique;10.0;3.5;16.0;=;29.5
3203009000;HS10;Matières colorantes végétales ou animales - Autre;Colouring matter of vegetable or animal origin - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
3204;RANGEE 04;"Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined";;;;;;;
320411;HS6;Colorants dispersés;Disperse dyes;;;;;;
320411;HS6-DIRECT;Colorants dispersés;Disperse dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320412;HS6;Colorants acides;Acid dyes;;;;;;
320412;HS6-DIRECT;Colorants acides;Acid dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320413;HS6;Colorants basiques;Basic dyes;;;;;;
320413;HS6-DIRECT;Colorants basiques;Basic dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320414;HS6;Colorants directs;Direct dyes;;;;;;
320414;HS6-DIRECT;Colorants directs;Direct dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320415;HS6;Colorants de cuve;Vat dyes;;;;;;
320415;HS6-DIRECT;Colorants de cuve;Vat dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320416;HS6;Colorants réactifs;Reactive dyes;;;;;;
320416;HS6-DIRECT;Colorants réactifs;Reactive dyes;Industrie chimique;10.0;3.5;16.0;=;29.5
320417;HS6;Pigments et préparations à base de pigments;Pigments and preparations based thereon;;;;;;
3204171000;HS10;Pigments et préparations à base de pigments - Type 1;Pigments and preparations based thereon - Type 1;Industrie chimique;10.0;3.5;16.0;=;29.5
3204172000;HS10;Pigments et préparations à base de pigments - Type 2;Pigments and preparations based thereon - Type 2;Industrie chimique;10.0;3.5;16.0;=;29.5
3204179000;HS10;Pigments et préparations à base de pigments - Autre;Pigments and preparations based thereon - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
320418;HS6;Matières colorantes caroténoïdes et préparations à base de ces matières;Dyes;;;;;;
3204181000;HS10;Matières colorantes caroténoïdes et préparations à base de ces matières - Type 1;Dyes - Type 1;Industrie chimique;10.0;3.5;16.0;=;29.5
3204182000;HS10;Matières colorantes caroténoïdes et préparations à base de ces matières - Type 2;Dyes - Type 2;Industrie chimique;10.0;3.5;16.0;=;29.5
3204189000;HS10;Matières colorantes caroténoïdes et préparations à base de ces matières - Autre;Dyes - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
320419;HS6;Autres matières colorantes synthétiques;Other synthetic organic colouring matter;;;;;;
320419;HS6-DIRECT;Autres matières colorantes synthétiques;Other synthetic organic colouring matter;Industrie chimique;10.0;3.5;16.0;=;29.5
320420;HS6;Produits organiques synthétiques luminophores;Synthetic organic products used as fluorescent brightening agents;;;;;;
320420;HS6-DIRECT;Produits organiques synthétiques luminophores;Synthetic organic products used as fluorescent brightening agents;Industrie chimique;10.0;3.5;16.0;=;29.5
320490;HS6;Autres matières colorantes organiques synthétiques;Other synthetic organic colouring matter;;;;;;
320490;HS6-DIRECT;Autres matières colorantes organiques synthétiques;Other synthetic organic colouring matter;Industrie chimique;10.0;3.5;16.0;=;29.5
3205;RANGEE 05;"Colour lakes; preparations based on colour lakes as specified in note 3 to this chapter";;;;;;;
320500;HS6;Laques colorantes;Colour lakes;;;;;;
320500;HS6-DIRECT;Laques colorantes;Colour lakes;Industrie chimique;10.0;3.5;16.0;=;29.5
3206;RANGEE 06;"Colouring matter and preparations thereof n.e.c. in heading no. 3203, 3204, 3205; inorganic products, kind used as luminophores whether or not chemically defined";;;;;;;
320611;HS6;Pigments à base de dioxyde de titane >= 80%;Pigments containing >= 80% titanium dioxide;;;;;;
320611;HS6-DIRECT;Pigments à base de dioxyde de titane >= 80%;Pigments containing >= 80% titanium dioxide;Industrie chimique;10.0;3.5;16.0;=;29.5
320619;HS6;Autres pigments à base de dioxyde de titane;Other pigments based on titanium dioxide;;;;;;
320619;HS6-DIRECT;Autres pigments à base de dioxyde de titane;Other pigments based on titanium dioxide;Industrie chimique;10.0;3.5;16.0;=;29.5
320620;HS6;Pigments à base de composés du chrome;Pigments based on chromium compounds;;;;;;
320620;HS6-DIRECT;Pigments à base de composés du chrome;Pigments based on chromium compounds;Industrie chimique;10.0;3.5;16.0;=;29.5
320641;HS6;Outremer et ses préparations;Ultramarine and preparations thereof;;;;;;
320641;HS6-DIRECT;Outremer et ses préparations;Ultramarine and preparations thereof;Industrie chimique;10.0;3.5;16.0;=;29.5
320642;HS6;Lithopone et autres pigments à base de sulfure de zinc;Lithopone and other pigments based on zinc sulphide;;;;;;
320642;HS6-DIRECT;Lithopone et autres pigments à base de sulfure de zinc;Lithopone and other pigments based on zinc sulphide;Industrie chimique;10.0;3.5;16.0;=;29.5
320649;HS6;Autres matières colorantes inorganiques;Other colouring matter of inorganic origin;;;;;;
320649;HS6-DIRECT;Autres matières colorantes inorganiques;Other colouring matter of inorganic origin;Industrie chimique;10.0;3.5;16.0;=;29.5
320650;HS6;Produits inorganiques des types utilisés comme luminophores;Colouring matter;;;;;;
3206501000;HS10;Produits inorganiques des types utilisés comme luminophores - Type 1;Colouring matter - Type 1;Industrie chimique;10.0;3.5;16.0;=;29.5
3206502000;HS10;Produits inorganiques des types utilisés comme luminophores - Type 2;Colouring matter - Type 2;Industrie chimique;10.0;3.5;16.0;=;29.5
3206509000;HS10;Produits inorganiques des types utilisés comme luminophores - Autre;Colouring matter - Other;Industrie chimique;10.0;3.5;16.0;=;29.5
3207;RANGEE 07;"Pigments, prepared; opacifiers, colours, vitrifiable enamels, glazes, engobes (slips), liquid lustres etc as used in the ceramic enamelling or glass industry; glass frit and powder, granules or flakes";;;;;;;
320710;HS6;Pigments, opacifiants et couleurs préparés pour céramique;Prepared pigments, opacifiers and colours for ceramics;;;;;;
320710;HS6-DIRECT;Pigments, opacifiants et couleurs préparés pour céramique;Prepared pigments, opacifiers and colours for ceramics;Industrie chimique;10.0;3.5;16.0;=;29.5
320720;HS6;Compositions vitrifiables, engobes;Vitrifiable enamels and glazes;;;;;;
320720;HS6-DIRECT;Compositions vitrifiables, engobes;Vitrifiable enamels and glazes;Industrie chimique;10.0;3.5;16.0;=;29.5
320730;HS6;Lustres liquides et préparations similaires;Liquid lustres and similar preparations;;;;;;
320730;HS6-DIRECT;Lustres liquides et préparations similaires;Liquid lustres and similar preparations;Industrie chimique;10.0;3.5;16.0;=;29.5
320740;HS6;Frittes de verre et autres verres en poudre;Glass frit and other glass in powder form;;;;;;
320740;HS6-DIRECT;Frittes de verre et autres verres en poudre;Glass frit and other glass in powder form;Industrie chimique;10.0;3.5;16.0;=;29.5
3208;RANGEE 08;"Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium";;;;;;;
320810;HS6;Peintures et vernis à base de polyesters;Paints and varnishes based on polyesters;;;;;;
3208100010;HS10;Peintures et vernis à base de polyesters - Usage spécifique;Paints and varnishes based on polyesters - Specific use;Industrie chimique;10.0;3.5;16.0;=;29.5
3208100090;HS10;Peintures et vernis à base de polyesters - Autre usage;Paints and varnishes based on polyesters - Other use;Industrie chimique;10.0;3.5;16.0;=;29.5
320820;HS6;Peintures et vernis à base de polymères acryliques;Paints and varnishes based on acrylic polymers;;;;;;
3208200010;HS10;Peintures et vernis à base de polymères acryliques - Usage spécifique;Paints and varnishes based on acrylic polymers - Specific use;Industrie chimique;10.0;3.5;16.0;=;29.5
3208200090;HS10;Peintures et vernis à base de polymères acryliques - Autre usage;Paints and varnishes based on acrylic polymers - Other use;Industrie chimique;10.0;3.5;16.0;=;29.5
320890;HS6;Autres peintures et vernis;Other paints and varnishes;;;;;;
3208900010;HS10;Autres peintures et vernis - Usage spécifique;Other paints and varnishes - Specific use;Industrie chimique;10.0;3.5;16.0;=;29.5
3208900090;HS10;Autres peintures et vernis - Autre usage;Other paints and varnishes - Other use;Industrie chimique;10.0;3.5;16.0;=;29.5
3209;RANGEE 09;Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium;;;;;;;
320910;HS6;Peintures et vernis à base de polymères acryliques en milieu aqueux;Paints based on acrylic polymers in aqueous medium;;;;;;
3209100010;HS10;Peintures et vernis à base de polymères acryliques en milieu aqueux - Usage spécifique;Paints based on acrylic polymers in aqueous medium - Specific use;Industrie chimique;10.0;3.5;16.0;=;29.5
3209100090;HS10;Peintures et vernis à base de polymères acryliques en milieu aqueux - Autre usage;Paints based on acrylic polymers in aqueous medium - Other use;Industrie chimique;10.0;3.5;16.0;=;29.5
320990;HS6;Autres peintures en milieu aqueux;Other paints in aqueous medium;;;;;;
3209900010;HS10;Autres peintures en milieu aqueux - Usage spécifique;Other paints in aqueous medium - Specific use;Industrie chimique;10.0;3.5;16.0;=;29.5
3209900090;HS10;Autres peintures en milieu aqueux - Autre usage;Other paints in aqueous medium - Other use;Industrie chimique;10.0;3.5;16.0;=;29.5
3210;RANGEE 10;Paints and varnishes (including enamels, lacquers and distempers), excluding those of heading no. 3209, prepared water pigments of a kind used for finishing leather;;;;;;;
321000;HS6;"Autres peintures et vernis; pigments à l'eau";"Other paints and varnishes; water pigments";;;;;;
321000;HS6-DIRECT;"Autres peintures et vernis; pigments à l'eau";"Other paints and varnishes; water pigments";Industrie chimique;10.0;3.5;16.0;=;29.5
3211;RANGEE 11;"Driers; prepared";;;;;;;
321100;HS6;Siccatifs préparés;Prepared driers;;;;;;
321100;HS6-DIRECT;Siccatifs préparés;Prepared driers;Industrie chimique;10.0;3.5;16.0;=;29.5
3212;RANGEE 12;"Pigments (metallic powders and flakes) dispersed in non-aqueous media in liquid or paste form, as used in manufacture of paints (including enamels); stamping foils, dyes etc in forms, packing for retail sale";;;;;;;
321210;HS6;Feuilles pour le marquage au fer;Stamping foils;;;;;;
321210;HS6-DIRECT;Feuilles pour le marquage au fer;Stamping foils;Industrie chimique;10.0;3.5;16.0;=;29.5
321290;HS6;Autres pigments dispersés dans milieux non aqueux;Other pigments dispersed in non-aqueous media;;;;;;
321290;HS6-DIRECT;Autres pigments dispersés dans milieux non aqueux;Other pigments dispersed in non-aqueous media;Industrie chimique;10.0;3.5;16.0;=;29.5
3213;RANGEE 13;"Colours; artists, students, or signboard painters, modifying tints, amusement colours and the like; in tablets, tubes, jars, bottles, pan or in similar forms or packings";;;;;;;
321310;HS6;Couleurs en assortiments pour artistes;Colours in sets for artists;;;;;;
321310;HS6-DIRECT;Couleurs en assortiments pour artistes;Colours in sets for artists;Industrie chimique;10.0;3.5;16.0;=;29.5
321390;HS6;Autres couleurs pour la peinture artistique;Other colours for artistic painting;;;;;;
321390;HS6-DIRECT;Autres couleurs pour la peinture artistique;Other colours for artistic painting;Industrie chimique;10.0;3.5;16.0;=;29.5
3214;RANGEE 14;"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like";;;;;;;
321410;HS6;Mastics de vitrier, ciments de résine;Glaziers' putty, grafting putty;;;;;;
321410;HS6-DIRECT;Mastics de vitrier, ciments de résine;Glaziers' putty, grafting putty;Industrie chimique;10.0;3.5;16.0;=;29.5
321490;HS6;"Autres mastics; enduits pour peinture";"Other mastics; painters' fillings";;;;;;
321490;HS6-DIRECT;"Autres mastics; enduits pour peinture";"Other mastics; painters' fillings";Industrie chimique;10.0;3.5;16.0;=;29.5
3215;RANGEE 15;"Ink; printing, writing or drawing ink and other inks; whether or not concentrated or solid";;;;;;;
321511;HS6;Encres d'imprimerie noires;Black printing ink;;;;;;
321511;HS6-DIRECT;Encres d'imprimerie noires;Black printing ink;Industrie chimique;10.0;3.5;16.0;=;29.5
321519;HS6;Autres encres d'imprimerie;Other printing ink;;;;;;
321519;HS6-DIRECT;Autres encres d'imprimerie;Other printing ink;Industrie chimique;10.0;3.5;16.0;=;29.5
321590;HS6;Autres encres;Other inks;;;;;;
321590;HS6-DIRECT;Autres encres;Other inks;Industrie chimique;10.0;3.5;16.0;=;29.5
CHAPITRE 33;CHAPITRE;Huiles essentielles, parfumerie;;;;;;;
3301;RANGEE 01;"Oils; essential (concretes, absolutes); concentrates thereof in fats, fixed oils, waxes or the like (obtained by enfleurage or maceration); aqueous distillates, solutions and terpenic by-products thereof; resinoids; extracted oleoresins";;;;;;;
330111;HS6;Huile essentielle de bergamote;Essential oil of bergamot;;;;;;
