Code_HS6;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%;Nb_Sous_Positions
010310;01;Porcins reproducteurs de race pure;Pure-bred breeding swine;livestock;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010391;01;Autres porcins < 50 kg;Other swine < 50 kg;livestock;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
010392;01;D'un poids égal ou supérieur à 50 kg;Swine;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010410;01;Ovins vivants;Live sheep;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010420;01;Caprins vivants;Live goats;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010511;01;Volailles vivantes - coqs et poules ≤185g;Live poultry - fowls ≤185g;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010512;01;Dindes vivantes ≤185g;Live turkeys ≤185g;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
010513;01;Canards;Poultry;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010514;01;Oies;Poultry;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010515;01;Pintades;Poultry;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010594;01;Volailles vivantes autres (poulets >185g);Other live poultry (fowls >185g);poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010599;01;autres;Poultry;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010600;01;Autres animaux vivants;Autres animaux vivants;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010611;01;Primates vivants;Live primates;wildlife;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
010612;01;Baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010613;01;Chameaux et autres camélidés (Camelidae);Mammals;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010614;01;Lapins et lièvres;Mammals;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010619;01;Autres;Mammals;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010620;01;Reptiles (y compris les serpents et tortues de mer);Reptiles;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010631;01;Oiseaux de proie;Birds;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010632;01;Psittaciformes (y compris les perroquets;Birds;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010633;01;Autruches;emeus (Dromaius novahollandiae);live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010639;01;Autres :;Birds;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010641;01;Abeilles;Insects;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010649;01;Autres;Insects;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010690;01;Autres;Animals;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020110;02;Carcasses ou demi-carcasses de bovins, fraîches;Bovine carcasses or half-carcasses, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020120;02;Morceaux de bovins non désossés, frais;Bovine cuts, bone-in, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020130;02;Viande de bovins désossée;Bovine meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020210;02;Carcasses de bovins, congelées;Bovine carcasses, frozen;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020220;02;Morceaux de bovins non désossés, congelés;Bovine cuts, bone-in, frozen;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020230;02;Viande de bovins désossée;Bovine meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020311;02;Carcasses de porcins, fraîches;Swine carcasses, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020312;02;Jambons et épaules de porcins;Hams and shoulders of swine;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020319;02;Viande de porcins, fraîche autre;Other fresh swine meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020321;02;En carcasses ou demi-carcasses;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020322;02;Jambons;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020329;02;Autres;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020410;02;Carcasses d'agneau, fraîches;Lamb carcasses, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020421;02;Carcasses d'ovins, fraîches;Sheep carcasses, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020422;02;Morceaux d'ovins non désossés, frais;Sheep cuts, bone-in, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020423;02;Morceaux d'ovins désossés, frais;Sheep cuts, boneless, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020430;02;Carcasses de caprins;Goat carcasses;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020441;02;En carcasses ou demi-carcasses;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020442;02;En autres morceaux non désossés;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020443;02;Désossées;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020450;02;Viande de chèvre;Goat meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020500;02;Viande d'équidés (cheval, âne);Meat of horses, asses, mules;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020610;02;Abats de bovins, frais;Bovine offal, fresh;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020621;02;Langues de bovins congelées;Bovine tongues;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020622;02;Foies;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020629;02;Autres;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020630;02;De l'espèce porcine;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020641;02;Foies;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020649;02;Autres;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020680;02;Autres;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020690;02;Autres;Offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020711;02;Coqs et poules non découpés, frais;Fowls, not cut, fresh;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020712;02;Coqs et poules non découpés, congelés;Fowls, not cut, frozen;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020713;02;Morceaux de volailles, frais;Poultry cuts, fresh;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020714;02;Morceaux de volailles congelés;Poultry cuts;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020724;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020725;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020726;02;Morceaux et abats;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020727;02;Dindes découpées, congelées;Turkey cuts, frozen;poultry;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020741;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020742;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020743;02;Foies gras;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020744;02;Autres;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020745;02;Autres;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020751;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020752;02;Non découpés en morceaux;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020753;02;Foies gras;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020754;02;Autres;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020755;02;Autres;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020760;02;De pintades :;Meat and edible offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020810;02;Viande de lapin fraîche;Fresh rabbit meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020830;02;Viande de primates;Primate meat;wildlife;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
020840;02;De baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020850;02;De reptiles (y compris les serpents et tortues de mer);Meat and edible meat offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020860;02;De chameaux et d'autres camélidés (Camelidae);Meat and edible meat offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020890;02;Autres viandes (gibier, autruche);Other meat (game, ostrich);meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020900;02;Graisse de porc et de volaille;Pig fat and poultry fat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020910;02;De porc;Fat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
020990;02;Autres;Fat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021011;02;Jambons;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021012;02;Poitrines (entrelardées) et leurs morceaux;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021019;02;Autres;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021020;02;Viandes de l'espèce bovine;Meat;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021091;02;De primates;Meat and edible meat offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021092;02;De baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021093;02;De reptiles (y compris les serpents et tortues de mer);Meat and edible meat offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
021099;02;Autres;Meat and edible meat offal;meat;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030110;03;Poissons d'ornement vivants;Live ornamental fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030111;03;Poissons d'ornement, eau douce;Ornamental fish, freshwater;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030119;03;Poissons d'ornement, eau de mer;Ornamental fish, saltwater;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030191;03;Truites vivantes;Live trout;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030192;03;Anguilles vivantes;Live eels;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030193;03;Carpes vivantes;Live carp;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030194;03;Thons rouges vivants;Live Atlantic bluefin tuna;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030195;03;Thons rouges du sud (Thunnus maccoyii);Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030199;03;Autres poissons vivants;Other live fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030211;03;Truites fraîches/réfrigérées;Fresh/chilled trout;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030212;03;Saumons du Pacifique frais;Pacific salmon;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030213;03;Saumons du Pacifique frais;Fresh Pacific salmon;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030214;03;Saumon atlantique frais;Fresh Atlantic salmon;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030219;03;Autres;Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030221;03;Flétan frais;Fresh halibut;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030222;03;Plie fraîche;Fresh plaice;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030223;03;Sole fraîche;Fresh sole;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030224;03;Turbots (Psetta maxima);Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030229;03;Autres;Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030231;03;Tilapia frais;Fresh tilapia;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030232;03;Poissons-chats (silures) frais;Fresh catfish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030233;03;Perche du Nil fraîche;Fresh Nile perch;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
030234;03;Thons obèses frais;Bigeye tuna;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030235;03;Thons rouges frais;Bluefin tuna;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030236;03;Thons rouges du sud (Thunnus maccoyii);Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030239;03;Autres;Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030241;03;Harengs frais;Fresh herrings;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030242;03;Anchois frais;Fresh anchovies;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030243;03;Sardines fraîches;Fresh sardines;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;0
030244;03;Maquereaux frais;Fresh mackerel;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
030245;03;Chinchards (Trachurus spp.);Fish;fish;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
