"Chapitre;Description Chapitre (FR);Description Chapitre (EN);Code SH6;Description Produit (FR);Description Produit (EN);Statut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010231;Reproducteurs de race pure;Buffalo;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010239;Autres;Buffalo;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010290;Autres bovins vivants;Other live bovine animals;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010310;Porcins reproducteurs de race pure;Pure-bred breeding swine;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010391;D'un poids inférieur à 50 kg;Swine;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010392;D'un poids égal ou supérieur à 50 kg;Swine;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010410;Ovins vivants;Live sheep;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010420;Caprins vivants;Live goats;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010511;Coqs et poules ≤185g;Fowls ≤185g;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010512;Dindes vivantes ≤185g;Live turkeys ≤185g;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010513;Canards;Poultry;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010514;Oies;Poultry;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010515;Pintades;Poultry;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010594;Autres volailles vivantes;Other live poultry;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010599;autres;Poultry;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010600;Autres animaux vivants;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010611;Primates vivants;Live primates;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010612;Baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);d'otaries et phoques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010613;Chameaux et autres camélidés (Camelidae);Mammals;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010614;Lapins et lièvres;Mammals;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010619;Autres;Mammals;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010620;Reptiles (y compris les serpents et tortues de mer);Reptiles;live (including snakes and turtles)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010631;Oiseaux de proie;Birds;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010632;Psittaciformes (y compris les perroquets;Birds;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010633;Autruches;emeus (Dromaius novahollandiae);Birds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010639;Autres :;Birds;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010641;Abeilles;Insects;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010649;Autres;Insects;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010690;Autres;Animals;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020110;Carcasses de bovins;Bovine carcasses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020120;Autres morceaux de bovins non désossés;Other bovine cuts;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020130;Viande de bovins désossée;Bovine meat;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020210;Carcasses de bovins congelées;Bovine carcasses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020220;Autres morceaux de bovins congelés;Other bovine cuts;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020230;Viande de bovins désossée;Bovine meat;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020311;Carcasses de porcins fraîches;Swine carcasses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020312;Jambons et épaules de porcins;Hams and shoulders of swine;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020319;Autres;Meat;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020321;En carcasses ou demi-carcasses;Meat;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020322;Jambons;Meat;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020329;Autres;Meat;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020410;Carcasses d'agneau fraîches;Lamb carcasses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020421;Autres viandes ovines fraîches;Other sheep meat;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020422;Viandes ovines congelées;Sheep meat;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020423;Désossés;Meat;of sheep (including lamb)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020430;Carcasses de caprins;Goat carcasses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020441;En carcasses ou demi-carcasses;Meat;of sheep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020442;En autres morceaux non désossés;Meat;of sheep (including lamb)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020443;Désossées;Meat;of sheep (including lamb)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020450;Viandes des animaux de l'espèce caprine;Meat;of goats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020500;Viandes chevalines;Horse meat;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020610;Abats de bovins frais;Bovine offal;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020621;Langues de bovins congelées;Bovine tongues;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020622;Foies;Offal;of bovine animals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020629;Autres;Offal;of bovine animals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020630;De l'espèce porcine;Offal;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020641;Foies;Offal;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020649;Autres;Offal;of swine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020680;Autres;Offal;of sheep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020690;Autres;Offal;of sheep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020711;Coqs et poules entiers frais;Whole fowls;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020712;Coqs et poules entiers congelés;Whole fowls;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020713;Morceaux de volailles frais;Poultry cuts;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020714;Morceaux de volailles congelés;Poultry cuts;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020724;Non découpés en morceaux;Meat and edible offal;of turkeys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020725;Non découpés en morceaux;Meat and edible offal;of turkeys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020726;Morceaux et abats;Meat and edible offal;of turkeys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020727;Morceaux et abats;Meat and edible offal;of turkeys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020741;Non découpés en morceaux;Meat and edible offal;of ducks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020742;Non découpés en morceaux;Meat and edible offal;of ducks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020743;Foies gras;Meat and edible offal;of ducks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020744;Autres;Meat and edible offal;of ducks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020745;Autres;Meat and edible offal;of ducks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020751;Non découpés en morceaux;Meat and edible offal;of geese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020752;Non découpés en morceaux;Meat and edible offal;of geese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020753;Foies gras;Meat and edible offal;of geese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020754;Autres;Meat and edible offal;of geese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020755;Autres;Meat and edible offal;of geese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020760;De pintades :;Meat and edible offal;of guinea fowls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020810;De lapins ou de lièvres;Meat and edible meat offal;of rabbits or hares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020830;De primates;Meat and edible meat offal;of primates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020840;De baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);d'otaries et phoques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020850;De reptiles (y compris les serpents et tortues de mer);Meat and edible meat offal;of reptiles (including snakes and turtles)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020860;De chameaux et d'autres camélidés (Camelidae);Meat and edible meat offal;of camels and other camelids (Camelidae)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020890;Autres;Meat and edible meat offal;n.e.c. in chapter 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020910;De porc;Fat;pig fat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;020990;Autres;Fat;poultry fat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021011;Jambons;Meat;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021012;Poitrines (entrelardées) et leurs morceaux;Meat;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021019;Autres;Meat;salted in brine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021020;Viandes de l'espèce bovine;Meat;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021091;De primates;Meat and edible meat offal;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021092;De baleines;de lamantins et dugongs (mammifères de l'ordre Sirenia);d'otaries et phoques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021093;De reptiles (y compris les serpents et tortues de mer);Meat and edible meat offal;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02;Viandes et abats comestibles;Meat and edible offal;021099;Autres;Meat and edible meat offal;salted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030110;Poissons d'ornement vivants;Live ornamental fish;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030111;D'eau douce;Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030119;Autres;Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030191;Truites vivantes;Live trout;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030192;Anguilles (Anguilla spp.);Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030193;Carpes (Cyprinus spp.;Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030194;Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus;Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030195;Thons rouges du sud (Thunnus maccoyii);Fish;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030199;Autres poissons vivants;Other live fish;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030211;Truites fraîches ou réfrigérées;Trout;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030212;Saumons du Pacifique frais;Pacific salmon;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030213;Saumons du Pacifique (Oncorhynchus nerka;Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030214;Saumons de l'Atlantique frais;Atlantic salmon;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030219;Autres;Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030221;Fletans (Reinhardtius hippoglossoides;Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030222;Plies et carelets (Pleuronectes platessa);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030223;Soles (Solea spp.);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030224;Turbots (Psetta maxima);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030229;Autres;Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030231;Thons albacores frais;Albacore tuna;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030232;Thons à nageoires jaunes frais;Yellowfin tuna;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030233;Listaos frais;Skipjack tuna;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030234;Thons obèses frais;Bigeye tuna;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030235;Thons rouges frais;Bluefin tuna;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030236;Thons rouges du sud (Thunnus maccoyii);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030239;Autres;Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030241;Harengs frais;Herrings;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030242;Anchois frais;Anchovies;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030243;Sardines fraîches;Sardines;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030244;Maquereaux frais;Mackerel;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030245;Chinchards (Trachurus spp.);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03;Poissons;Fish;030246;Mafous (Rachycentron canadum);Fish;fresh or chilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
