Chapitre;Code_Position_10_chiffres;Designation;Droit_Importation_DI;Taxe_Parafiscale_Importation_TPI;Taxe_Valeur_Ajoutee_TVA;Taxe_Interieure_Consommation_TIC;Formalites_particulieres;Source
01;0103100090;- - - - autres (a)£- Autres :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0103911000;- - des espèces domestiques;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0103919000;- - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0103921000;- - - des espèces domestiques;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0103929000;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104101010;- - - des espèces domestiques  (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0104101090;- - - - - autres (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104109010;- - - des espèces domestiques;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104109090;- - - - - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104201010;- - - des espèces domestiques (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0104201090;- - - - - autres (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104209010;- - - des espèces domestiques;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0104209090;- - - - - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105111000;- - - reproducteurs (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0105119000;- - - - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105120010;- - - reproducteurs;2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105120090;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105131000;- - reproducteurs (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105139000;- - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105141000;- - reproducteurs (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105149000;- - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105151000;- - reproducteurs  (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105159000;- - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105940000;- - Volailles de l espèce Gallus domesticus;70 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105990010;- - - canards;70 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105990020;- - oies;70 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105990030;- - - - - dindons et dindes;70 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0105990090;- - - - pintades;70 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106111000;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106119000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106122000;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales,importés à leur ordre ou pour leur compte et conduits directement à ces parcs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106128000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106131000;- - reproducteurs (a);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106139010;- - - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs.;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106139090;- - - autres;2.5 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106141100;- - - lapereaux reproducteurs (b);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106141900;- - - autres– – – autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106143000;- - - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs.– – – – autres:;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106145000;- - - - des espèces gibier;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106146000;- - - - des espèces à poils;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106149000;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106193500;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales,importés à leur ordre ou pour leur compte et conduits directement à ces parcs.– – – Autres:– – – – des espèces domestiques:;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106194100;- - - - - chiens et chats;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106194700;- - - - autres– – – – Autres:;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106195500;- - - - des espèces gibier– – – – – des espèces à poils:;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106196100;- - - - - - chiens et chats;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106196700;- - - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106198000;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106201000;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106209100;- - - tortues;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106209200;- - - crocodiles;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106209900;- - - autres£- Oiseaux :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106310000;- - Oiseaux de proie;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106321000;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106329000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106331000;- - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106339000;- - autres;2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106391100;- - - dits «de tir» importés pour les besoins d'une manifestation publique (con- cours) déterminée et conduits directement à destination sous le couvert d'un acquit-à-caution à faire décharger par le service des douanes du lieu où est organis�;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106391200;- - - pigeons voyageurs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION;douane.gov.ma/adil
01;0106391900;- - - autres£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106394000;- - - destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs.;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106399100;- - - - - des espèces gibier;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106399900;- - - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106411000;- - bourdons pollinisateurs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106419000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106491000;- - insectes exotiques de la lutte biologique (a);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106499000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106903000;- - animaux destinés aux parcs zoologiques, nationaux ou des collectivités locales, importés à leur ordre ou pour leur compte et conduits directement à ces parcs£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106909100;- - - des espèces gibier;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106909200;- - - des espèces à poils;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0106909700;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201100011;- - - de veau;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201100019;- - - de gros bovins;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201100090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201201110;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201201190;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201201910;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201201990;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201209010;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201209090;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201301110;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201301190;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201301910;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201301990;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201309010;- - - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0201309090;- - - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202100010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202100090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202201010;- - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202201090;- - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202209010;- - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202209090;- - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202301100;- - - - viande hachée présentée sous forme de galettes de 45 gr à 150 gr, en sachets en polyéthylène, d'une teneur en matière grasse de 17,5à 21(a);10 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202301910;- - - morceaux de haute qualité visés à la note complémentaire n° 2 du présent chapitre;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202301990;- - - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0202309000;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203110010;- - de l'espèce domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203110090;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203120010;- - - - Migration NGP inexistants;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203120090;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203190010;- - de l'espèce domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203190090;- - - - autres£- Congelées :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203210010;- - de l'espèce domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203210090;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203220010;- - - - de l espèce domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203220090;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203290010;- - de l'espèce domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0203290090;- - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204100010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204100090;- - - - autres£- Autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées :;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204210010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204210090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204220010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204220090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204230010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204230090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204300010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204300090;- - - - autres£- Autres viandes des animaux de l'espèce ovine, congelées :;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204410010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204410090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204420010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204420090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204430010;- - de l'espèce domestique;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204430090;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0204500000;Viandes des animaux de l'espèce caprine;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0205000000;Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206101000;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206109110;- - - - hampe visée à la note complémentaire n° 3 du présent chapitre;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206109190;- - - - - - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206109900;- - - - - autres£- De l'espèce bovine, congelés :;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206210010;- - destinées à la fabrication de produits pharmaceutiques£- - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206210091;- - - de l'espèce bovine domestique;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206210099;- - - - - autres;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206220010;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206220091;- - - de l'espèce bovine domestique;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206220099;- - - - - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206291000;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206299110;- - - - hampe visée à la note complémentaire n° 3 du présent chapitre;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206299190;- - - - - - autres;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206299900;- - - - - autres;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206300010;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206300091;- - - de l'espèce porcine domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206300099;- - - - - autres£- De l'espèce porcine, congelés :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206410010;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206410091;- - - de l'espèce porcine domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206410099;- - - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206490010;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206490091;- - - de l'espèce porcine domestique;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206490099;- - - - - autres;49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206800010;- - destinés à la fabrication de produits pharmaceutiques£- - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206800091;- - - des espèces chevaline, asine et mulassière;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206800099;- - - - - autres;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206901010;- - - destinés à la fabrication de produits pharmaceutiques£- - - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206901091;- - - - des espèces chevaline, asine et mulassière;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206901099;- - - - - - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206909010;- - - destinés à la fabrication de produits pharmaceutiques£- - - - autres :;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206909091;- - - - des espèces chevaline, asine et mulassière;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0206909099;- - - - - - autres;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207110000;- Non découpés en morceaux, frais ou réfrigérés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207120000;- Non découpés en morceaux, congelés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207130010;- - - foies£- - - morceaux :;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207130021;- - - - - désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207130029;- - - - non désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207130090;- - - - autres abats;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207141000;- - viandes désossées broyées£- - - autres :;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149100;- - - - foies;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149211;- - - - - de bréchet et escalope (poitrine) sans peau, non broyés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149212;- - - - - de cuisses entières sans peau, non broyés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149219;- - - - - - - autres, non broyés£- - - - - non désossés :;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149291;- - - - - cuisses et ailes;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149299;- - - - - - - autres;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207149900;- - - - - autres abats£- De dindes et dindons :;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207240000;- Non découpés en morceaux, frais ou réfrigérés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207250000;- Non découpés en morceaux, congelés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207260010;- - - foies£- - - morceaux :;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207260021;- - - - - désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207260029;- - - - non désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207260090;- - - - autres abats;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207271000;- - viandes désossées broyées;40 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207279010;- - - - foies£- - - - morceaux :;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207279021;- - - - - - désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
02;0207279029;- - - - - non désossés;100 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
